NearestIntersectionLocation,crime_rate,rating,Latitude,Longitude
Ahrens St W / Victoria St N,0.0002419094720997742,Low,43.45559442041719,-80.49141932964213
Ahrens St W / Victoria St N,0.0002419094720997742,Low,43.45547501678641,-80.49177342461279
Ahrens St W / Wellington St N,5.375766046661649e-05,Low,43.457673664737875,-80.49314788111761
Ahrens St W / Wilhelm St,0.0001209547360498871,Low,43.45979337601956,-80.49458734776215
Ahrens St W / Young St,5.375766046661649e-05,Low,43.45460063748233,-80.48944082923387
Ainslie St N / Ainslie St S / Main St,0.0009004408128158262,Low,43.3589071343379,-80.31358998398224
Ainslie St N / Colborne St,0.0004838189441995484,Low,43.36201686334173,-80.3136855898108
Ainslie St N / Dickson St,0.000551016019782819,Low,43.35989567222935,-80.31355268692772
Ainslie St N / Park Hill Rd E,0.0004972583593162025,Low,43.3633731206288,-80.31410718588421
Ainslie St N / Simcoe St,0.005792387915277927,High,43.36459611860208,-80.31424036109497
Ainslie St N / Thorne St,0.00014783356628319535,Low,43.36091288332911,-80.31353796161682
Ainslie St N / Water St N,0.0002822277174497366,Low,43.36650487949637,-80.31589728589283
Ainslie St S / Birch St,6.719707558327061e-05,Low,43.350726022576616,-80.31370406609445
Ainslie St S / Bruce St,4.031824534996237e-05,Low,43.35587843139698,-80.3139751763493
Ainslie St S / Concession St,0.00022847005698312009,Low,43.353803471660335,-80.31320570754005
Ainslie St S / Elliott St,0.00014783356628319535,Low,43.35289300356218,-80.31314088436952
Ainslie St S / Imperial Lane,4.031824534996237e-05,Low,43.35854386735767,-80.31363335808695
Ainslie St S / Valour Pl,0.0010213955488657133,Low,43.35782238077087,-80.31351103705722
Ainslie St S / Valour Pl,0.0010213955488657133,Low,43.357864683441804,-80.31371936737924
Ainslie St S / Veterans Way,8.063649069992474e-05,Low,43.354836850813214,-80.3138895336658
Ainslie St S / Walnut St,4.031824534996237e-05,Low,43.35515966877644,-80.31402173710462
Ainslie St S / Warnock St,0.00018815181163315772,Low,43.35691277615411,-80.31385959229173
Ainslie St S / Warnock St,0.00018815181163315772,Low,43.35701461979569,-80.31384236158677
Airport Rd / Canuck Rd N / Canuck Rd S,4.031824534996237e-05,Low,43.454301465083795,-80.3885461157921
Airport Rd / Fountain St N,0.00033598537791635307,Low,43.45296983495036,-80.39125393800458
Albany Crt / Salisbury Ave,1.3439415116654123e-05,Very Low,43.356222085081804,-80.34075109043148
Albert St / Arnold St,5.375766046661649e-05,Low,43.3839818879565,-80.70875473825741
Albert St / Ballantyne Ave,0.0001209547360498871,Low,43.34881201743794,-80.31112214026574
Albert St / Bearinger Rd / Hazel St,0.00026878830233308245,Low,43.48527042213542,-80.5404115925788
Albert St / Birch St,2.6878830233308245e-05,Low,43.35085233455935,-80.3117274480181
Albert St / Birch St / Prospect Pl,2.6878830233308245e-05,Low,43.35135964873744,-80.31165486632607
Albert St / Branchton Rd,0.00013439415116654123,Low,43.3092119368524,-80.258735185562
Albert St / Bricker Ave,0.0001209547360498871,Low,43.47145998610125,-80.52915074606855
Albert St / Cardill Cres,0.0006316525104827438,Low,43.480809274892124,-80.53680508806086
Albert St / Central St,0.00020159122674981184,Low,43.470131609747426,-80.5276959894382
Albert St / Columbia St W,0.0010617137942156758,Low,43.47865049177162,-80.53527718421145
Albert St / Dorset St / Dupont St W,2.6878830233308245e-05,Low,43.46590812018795,-80.52384040958415
Albert St / Elliott St,8.063649069992474e-05,Low,43.352802619331555,-80.31152429269434
Albert St / Erb St W,4.031824534996237e-05,Low,43.46501674182236,-80.52372273614519
Albert St / Ezra Ave,0.00014783356628319535,Low,43.470750392633846,-80.52838206714581
Albert St / Glenview Ave,0.00010751532093323298,Low,43.34703502297719,-80.31044196312342
Albert St / Greenbrier Dr,2.6878830233308245e-05,Low,43.48825706975292,-80.54147053796454
Albert St / Hickory St W,0.00044350069884958605,Low,43.476589449139816,-80.53381419562551
Albert St / Longwood Dr,0.000873561982582518,Low,43.490407441235355,-80.53954560697866
Albert St / McAuslan St,0.00013439415116654123,Low,43.352109725684564,-80.3115909359232
Albert St / Phillip St,0.0001747123965165036,Low,43.48443353564445,-80.53964653273104
Albert St / Princess St,1.3439415116654123e-05,Very Low,43.46664018361851,-80.52452941179845
Albert St / Queen St,1.3439415116654123e-05,Very Low,43.30895902600575,-80.26007997546833
Albert St / Quiet Pl,0.00044350069884958605,Low,43.48682350885039,-80.5435754990739
Albert St / Quiet Pl,0.00044350069884958605,Low,43.48734010276771,-80.5414684749632
Albert St / Seagram Dr,0.00013439415116654123,Low,43.472070941382974,-80.52981835872872
Albert St / Serviss St,5.375766046661649e-05,Low,43.35062632380929,-80.31173498701307
Albert St / Spring St W,0.00020159122674981184,Low,43.468894821428314,-80.52660156689981
Albert St / Stewart Ave,0.0001747123965165036,Low,43.347899797611376,-80.31076690140203
Albert St / Weber St N,0.00013439415116654123,Low,43.49187493762972,-80.53729479068674
Albert St / Young St W,0.0004972583593162025,Low,43.468118624002216,-80.52588708377345
Albert St E / Young St,6.719707558327061e-05,Low,43.53954634292869,-80.55231895111001
Albert St W / Isabella St S,9.407590581657886e-05,Low,43.53986316103816,-80.55597366267874
Albion Crt / Albion St,5.375766046661649e-05,Low,43.41332122227495,-80.50456354392628
Albion St / Dinison Cres,4.031824534996237e-05,Low,43.41190406402687,-80.50421709971903
Albion St / Dinison Cres,4.031824534996237e-05,Low,43.41415130982012,-80.50465811955277
Alderside Dr / Main St,2.6878830233308245e-05,Low,43.353482441800715,-80.53434878731052
Alderson Dr / Endeavour Dr,0.00010751532093323298,Low,43.44148843856799,-80.29652815531567
Alderson Dr / Melran Dr,2.6878830233308245e-05,Low,43.4400627017959,-80.29608808164839
Alderview Dr / Bechtel Ave,5.375766046661649e-05,Low,43.35163453116748,-80.53189604561543
Alderview Dr / Bock St,1.3439415116654123e-05,Very Low,43.35479673327113,-80.5301200647199
Alderwood Cres / Southwood Dr,1.3439415116654123e-05,Very Low,43.34547721252694,-80.33464005583245
Aldridge Cres / Enfield Dr,5.375766046661649e-05,Low,43.33888731694048,-80.30507036882324
Aldridge Cres / Enfield Dr / Sandalwood Dr,1.3439415116654123e-05,Very Low,43.33956987388122,-80.30533277192436
Alexander Ave / Elliott St,1.3439415116654123e-05,Very Low,43.35521802454007,-80.29314913359161
Alexander Ave / Main St,6.719707558327061e-05,Low,43.35708338783594,-80.29386541856796
Alexander Ave / South St,5.375766046661649e-05,Low,43.35340374466473,-80.29243993027711
Alexander Ave / Taylor Ave,1.3439415116654123e-05,Very Low,43.350874058423685,-80.2913593716287
Alexandra Ave / Avondale Ave S,1.3439415116654123e-05,Very Low,43.45928185917816,-80.52695216654725
Alexandra Ave / Empire St,2.6878830233308245e-05,Low,43.456093960231975,-80.533332277648
Alexandra Ave / Euclid Ave,1.3439415116654123e-05,Very Low,43.46041287215135,-80.52506867626126
Alexandra Ave / Lourdes St,2.6878830233308245e-05,Low,43.45448711740693,-80.5389635156621
Alexandra Ave / Melbourne Cres,2.6878830233308245e-05,Low,43.455049760896216,-80.53613297674944
Alexandra Ave / Menno St,2.6878830233308245e-05,Low,43.45984554458696,-80.5260036253501
Alexandra Ave / Roslin Ave S,1.3439415116654123e-05,Very Low,43.45813617047594,-80.52888466561114
Alexandra Ave / Short St,4.031824534996237e-05,Low,43.46108216453235,-80.52393149302165
Alexandra Ave / Somerset Cres,2.6878830233308245e-05,Low,43.454603670690474,-80.53732915676494
Alexandra Ave / Westmount Rd S,5.375766046661649e-05,Low,43.45709743578303,-80.5306521468859
Alexandra Ave / Westmount Rd S,5.375766046661649e-05,Low,43.45684418458025,-80.5312641187584
Alfred St / Alice St,2.6878830233308245e-05,Low,43.581639471584445,-80.73175608259518
Alfred St / Manser Rd,1.3439415116654123e-05,Very Low,43.58055690152672,-80.72914313372972
Alfred St / Wilker Way,1.3439415116654123e-05,Very Low,43.581091315798226,-80.73045325251125
Algonquin Dr / Iroquois Pl,2.6878830233308245e-05,Low,43.464970471438264,-80.54526208047015
Alice Ave / Karn St,0.00013439415116654123,Low,43.44354718338943,-80.51796919720945
Alice Ave / Victoria St S,0.00020159122674981184,Low,43.44146189123,-80.51568153411246
Alice Cres / Deerfield Ave,5.375766046661649e-05,Low,43.416367811151595,-80.60735369994464
Alice Cres / Redford Dr,0.00010751532093323298,Low,43.41478141609517,-80.6033436973939
Alice St / Ament Line,1.3439415116654123e-05,Very Low,43.58254562041679,-80.73105518697889
Alison Ave / Elgin St N,0.0001209547360498871,Low,43.36801043912419,-80.30106125650022
Alison Ave / Hilltop Dr,0.000551016019782819,Low,43.36411343803422,-80.29359845940061
Alison Ave / Lauris Ave,0.0001209547360498871,Low,43.36754727931886,-80.29494955425805
Alison Ave / Lumsden Cres,4.031824534996237e-05,Low,43.368758397830675,-80.29626390570532
Alison Ave / Mundy Cres,9.407590581657886e-05,Low,43.3683903390147,-80.29930859653004
Alison Ave / Radford Ave,0.00020159122674981184,Low,43.36875806476009,-80.29755707468935
Alison Ave / Vardon Ave,2.6878830233308245e-05,Low,43.364952548442695,-80.2939295483652
Allemang Pl / Three Bridges Rd,1.3439415116654123e-05,Very Low,43.57000055232859,-80.58471442327941
Allen St E / Braeside Ave,1.3439415116654123e-05,Very Low,43.469389419981155,-80.50479363222922
Allen St E / Devitt Ave S,2.6878830233308245e-05,Low,43.46623420991899,-80.51259903741477
Allen St E / Dover St,4.031824534996237e-05,Low,43.46678976262815,-80.51155291874231
Allen St E / Ellis Cres S,1.3439415116654123e-05,Very Low,43.46897608409735,-80.50586864383355
Allen St E / Erb St E,2.6878830233308245e-05,Low,43.47036377752461,-80.50394604649044
Allen St E / Herbert St,1.3439415116654123e-05,Very Low,43.46202056674662,-80.51720222534259
Allen St E / Mary St,1.3439415116654123e-05,Very Low,43.460979301357234,-80.5183292686708
Allen St E / Moore Ave S,8.063649069992474e-05,Low,43.46541500486601,-80.51351005676253
Allen St E / Weber St S,0.0001209547360498871,Low,43.467656574279516,-80.50935683784797
Allen St E / Willow St,1.3439415116654123e-05,Very Low,43.46317088031941,-80.51596472699089
Allen St W / Caroline St S,9.407590581657886e-05,Low,43.45954749763374,-80.51992439863587
Allen St W / Dunbar Rd S,1.3439415116654123e-05,Very Low,43.455718091226395,-80.5245773621539
Allen St W / Esson St,1.3439415116654123e-05,Very Low,43.457626958870925,-80.52197972646363
Allen St W / Freemont St,0.00010751532093323298,Low,43.459203975135964,-80.52029549863828
Allen St W / Park St,6.719707558327061e-05,Low,43.458850560668466,-80.52066307426843
Allen St W / Severn St,1.3439415116654123e-05,Very Low,43.45656926514348,-80.5231254213857
Allendale Rd / Intermarket Rd,1.3439415116654123e-05,Very Low,43.42557337429333,-80.39730122693854
Allendale Rd / Riverbank Dr,0.0001209547360498871,Low,43.42501059954281,-80.40063333632149
Allison Crt / Grangewood Dr,5.375766046661649e-05,Low,43.491648169915415,-80.49948616969878
Alona Ave / Charlton Pl,1.3439415116654123e-05,Very Low,43.42052025619276,-80.29602931860327
Alona Ave / Jamieson Pky,0.00018815181163315772,Low,43.41876725397847,-80.2951484762739
Alona Ave / Winston Blvd,1.3439415116654123e-05,Very Low,43.42142657934552,-80.29640080746519
Alpine Crt / Alpine Rd,4.031824534996237e-05,Low,43.42283875183216,-80.47850636029284
Alpine Rd / Flint Dr,0.0001747123965165036,Low,43.42564356500975,-80.48013145830619
Alpine Rd / Flint Dr,0.0001747123965165036,Low,43.424222762555516,-80.48172433988508
Alpine Rd / Kingswood Dr,8.063649069992474e-05,Low,43.42205052668206,-80.4783769319752
Alpine Rd / Ottawa St S,0.0006316525104827438,Low,43.42529297196456,-80.48339048736283
Alpine Rd / Ottawa St S,0.0006316525104827438,Low,43.42484431075827,-80.48270708562397
Alpine Rd / Ottawa St S,0.0006316525104827438,Low,43.425782205945275,-80.48316009364387
Alpine Rd / Ottawa St S,0.0006316525104827438,Low,43.42551917913929,-80.48387716427106
Alpine Rd / Ottawa St S,0.0006316525104827438,Low,43.425314358437035,-80.48380167459607
Alps Rd / Dumfries Rd,8.063649069992474e-05,Low,43.324377461168105,-80.40076365719445
Alps Rd / Edworthy Side Rd,0.0008870013976991721,Low,43.33038776902514,-80.36427908121291
Alps Rd / Northumberland St,0.0009407590581657886,Low,43.31044195460285,-80.47281796953911
Alps Rd / Reidsville Rd,5.375766046661649e-05,Low,43.31823516436371,-80.43692457954414
Alps Rd / Reidsville Rd,5.375766046661649e-05,Low,43.31796558602581,-80.43845528484638
Alps Rd / Spragues Rd,0.0004166218686162778,Low,43.334526026632155,-80.33924422340468
Alps Rd W / Northumberland St,0.00010751532093323298,Low,43.31483624961599,-80.47445260310198
Alps Rd W / Trussler Rd,2.6878830233308245e-05,Low,43.30948457363616,-80.4884413663155
Alten Way / Kressler Rd,9.407590581657886e-05,Low,43.52683058952409,-80.61830699664692
Alten Way / Rhine Meadow Rd / Vienna Cres,1.3439415116654123e-05,Very Low,43.526741812049465,-80.61733316175962
Altheim Cres / Altheim Pl,1.3439415116654123e-05,Very Low,43.45471786307711,-80.5821053376783
Altheim Cres / Lucerne Ave,1.3439415116654123e-05,Very Low,43.455355462318764,-80.5812651798386
Alvin St / Mackay Cres,0.0001747123965165036,Low,43.472907087580936,-80.51409728176024
Alvin St / Mackay Cres,0.0001747123965165036,Low,43.47468448300372,-80.5154842937382
Alvin St / Marshall St,6.719707558327061e-05,Low,43.4754107812811,-80.5160530068807
Amand Dr / Seabrook Dr,5.375766046661649e-05,Low,43.385228788769474,-80.49990447483675
Amand Dr / Seabrook Dr,5.375766046661649e-05,Low,43.38552269333114,-80.49997754169556
Amanda Walk / Houghton St,4.031824534996237e-05,Low,43.42504792693733,-80.287355169291
Amanda Walk / Houghton St,4.031824534996237e-05,Low,43.42568443909898,-80.2875626513058
Amber Dr / Confederation Dr,8.063649069992474e-05,Low,43.4611024618806,-80.44651112376319
Amber Dr / Strathcona Cres,5.375766046661649e-05,Low,43.46040139232284,-80.44605577731373
Amber Rd / Monroe St,5.375766046661649e-05,Low,43.358694616665794,-80.29591356219055
Amberwood Dr / Brynhurst Blvd / Knightsbridge Crt,1.3439415116654123e-05,Very Low,43.45919178148382,-80.56455720341782
Amberwood Dr / Ennismore Pl,1.3439415116654123e-05,Very Low,43.45987155258678,-80.56573857343159
Ambleside Crt / Foxhunt Rd,5.375766046661649e-05,Low,43.49390513490275,-80.5208266856211
Amelia Crt / Amelia St,1.3439415116654123e-05,Very Low,43.449029973710935,-80.40767598434286
Amelia St / Colton Cir,0.00014783356628319535,Low,43.4498633084024,-80.4082616926411
Amelia St / Colton Cir,0.00014783356628319535,Low,43.44833893093493,-80.4071705312762
Ament Line / Chalmers-Forrest Rd,6.719707558327061e-05,Low,43.597782278139036,-80.76868555564583
Ament Line / Empey Rd,8.063649069992474e-05,Low,43.55871514047057,-80.63099553705712
Ament Line / Geddes St,4.031824534996237e-05,Low,43.559224355110146,-80.63745420299084
Ament Line / Herrgott Rd,0.00018815181163315772,Low,43.55993081187217,-80.6461136589272
Ament Line / Hutchison Rd,1.3439415116654123e-05,Very Low,43.56507496925689,-80.70458397522614
Ament Line / Kressler Rd / Hawkesville Rd,6.719707558327061e-05,Low,43.54976570781897,-80.61459805680674
Ament Line / Lavery Rd,4.031824534996237e-05,Low,43.57352714439016,-80.70814200180025
Ament Line / Moser-Young Rd,1.3439415116654123e-05,Very Low,43.562437012563386,-80.67648212243907
Ament Line / Road 116,1.3439415116654123e-05,Very Low,43.605887987507636,-80.7883600200199
Ament Line / Wilker Way,1.3439415116654123e-05,Very Low,43.582030638717754,-80.72973667171163
American Beech Ave / Laurelwood Dr,8.063649069992474e-05,Low,43.469128771247306,-80.59784384470923
American Beech Ave / Red Osier Rd,4.031824534996237e-05,Low,43.46757017149141,-80.59889592237244
Amherst Dr / Durham St,0.00021503064186646596,Low,43.39208650537206,-80.4105537707227
Amherst Dr / Pinnacle Dr,0.00033598537791635307,Low,43.39220242334287,-80.41427898610866
Amherst Dr / Pinnacle Dr,0.00033598537791635307,Low,43.392160698067244,-80.41304371832878
Amos Ave / Churchill St,0.0006854101709493603,Low,43.45735585417188,-80.54716235353119
Amos Ave / Coleridge Dr / Coleridge Pl,1.3439415116654123e-05,Very Low,43.46040195455124,-80.55049586238053
Amos Ave / Hiawatha Dr,4.031824534996237e-05,Low,43.461240013074224,-80.55141661588455
Amos Ave / Karen Walk,0.00032254596279969894,Low,43.456166363422945,-80.54584199136762
Amos Ave / Keats Way,4.031824534996237e-05,Low,43.45880181824914,-80.54872857876327
Amos Ave / Vogel Pl,0.00010751532093323298,Low,43.45802821928348,-80.54789311049981
Anastasia Dr / Fallowfield Dr,1.3439415116654123e-05,Very Low,43.41475912540697,-80.46120454293575
Anderson Dr / Greenbrier Rd,2.6878830233308245e-05,Low,43.3438441299901,-80.29520318306612
Anderson Dr / Grenadier Rd,1.3439415116654123e-05,Very Low,43.34417633012901,-80.29383151436319
Andover Dr / Dolman St / Andover Dr,2.6878830233308245e-05,Low,43.47014235882772,-80.41865211344447
Andover Dr / Elroy Rd / Woolwich St S,0.00032254596279969894,Low,43.4729884315318,-80.41277376094875
Andover Dr / Fireside Dr,1.3439415116654123e-05,Very Low,43.47266905266366,-80.4138333274751
Andover Dr / Norwich Rd,0.0001209547360498871,Low,43.470574382331066,-80.41785563222163
Andover Dr / Shallow Creek Rd,4.031824534996237e-05,Low,43.47138406434681,-80.41640591743212
Andover Dr / Starlight Ave,0.00010751532093323298,Low,43.47194745796901,-80.41536252950692
Andrew St / Braun St,1.3439415116654123e-05,Very Low,43.45660841841884,-80.50503146644319
Andrew St / King St W,6.719707558327061e-05,Low,43.4552870903,-80.50585740864734
Andrew St / Shanley St,0.00025534888721642833,Low,43.45555281611205,-80.50568432332172
Angela Cres / Johanna Dr,0.00010751532093323298,Low,43.33996055650882,-80.3376967966144
Angela Cres / Johanna Dr,0.00010751532093323298,Low,43.341848451147534,-80.33869795999013
Angler Way / New Hampshire St / Cape Breton Crt,9.407590581657886e-05,Low,43.513430216831445,-80.50378216728666
Anglerock Dr / Chamberlin Dr,2.6878830233308245e-05,Low,43.388668001338786,-80.28721427064936
Anglerock Dr / Nutcracker St,4.031824534996237e-05,Low,43.3861096534255,-80.29011087318213
Angus Crt / Langford Dr,2.6878830233308245e-05,Low,43.385193323687325,-80.23097349166707
Angus Glen Lane / Piccadilly Sq,2.6878830233308245e-05,Low,43.36801447094096,-80.70387729300153
Angus Glen Lane / Piccadilly Sq,2.6878830233308245e-05,Low,43.36924108310263,-80.70515293195236
Anita Crt / Anndale Rd,1.3439415116654123e-05,Very Low,43.497466789069385,-80.51559498535295
Anita Dr / Lobsinger Line,0.00010751532093323298,Low,43.522572248082476,-80.64571326618021
Anita Dr / Mair Crt,6.719707558327061e-05,Low,43.52363597831256,-80.64513400498102
Ann St / Ephraim St,4.031824534996237e-05,Low,43.460355973608834,-80.470191604098
Ann St / Fife Ave,5.375766046661649e-05,Low,43.457681463156696,-80.4686299185099
Ann St / Frederick St,0.0004166218686162778,Low,43.459058282190824,-80.4710906222303
Ann St / Frederick St,0.0004166218686162778,Low,43.45940179601041,-80.46962811926107
Anna St / Raising Mill Gate,1.3439415116654123e-05,Very Low,43.597414227899215,-80.56842426427536
Anna St / Sugar King Dr,1.3439415116654123e-05,Very Low,43.5972231430098,-80.5662212111608
Annapolis Crt / Chesapeake Dr,2.6878830233308245e-05,Low,43.5063399776456,-80.50970586013125
Anndale Rd / Castlefield Ave,1.3439415116654123e-05,Very Low,43.496366725088556,-80.51437245048784
Anndale Rd / Lexington Rd,6.719707558327061e-05,Low,43.49375124606919,-80.51149956125664
Anndale Rd / Normandy Ave,2.6878830233308245e-05,Low,43.49548635753816,-80.51341550792482
Anndale Rd / Whitmore Dr,1.3439415116654123e-05,Very Low,43.49461094459591,-80.51244009347032
Anne St / Duke St,4.031824534996237e-05,Low,43.39353989481615,-80.35130113794901
Anthony Pl / Rennie Dr,5.375766046661649e-05,Low,43.44329703993266,-80.4423856907997
Anvil St / Bechtel Dr,4.031824534996237e-05,Low,43.39011943996664,-80.4442501522973
Anvil St / Doon Village Rd,4.031824534996237e-05,Low,43.390650458256786,-80.43843545906073
